
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="ln_views",="ln_views",="ln_views",="ln_views",="ln_views"

="Debut video (dummy)=1",="1.714***",="1.720***",="1.718***",="1.578***",="1.575***"
="",="(0.12)",="(0.12)",="(0.12)",="(0.12)",="(0.12)"

="MAHA5",="-0.926***",="-1.049***",="-1.069***",="-0.833***",="-0.918***"
="",="(0.24)",="(0.25)",="(0.26)",="(0.24)",="(0.24)"

="NIJISANJI ID",="-1.649***",="-1.682***",="-1.703***",="-1.608***",="-1.630***"
="",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.07)"

="Female (dummy)=1",="0.255***",="0.118*",="0.0986",="0.301***",="0.203***"
="",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.06)"

="Alia Adelia【MAHA5】",="0.434",="0.543*",="0.526*",="0.304",="0.377"
="",="(0.28)",="(0.29)",="(0.29)",="(0.27)",="(0.28)"

="Amicia Michella【NIJISANJI / にじさんじ】",="-0.315***",="-0.240***",="-0.205***",="-0.341***",="-0.287***"
="",="(0.05)",="(0.05)",="(0.05)",="(0.06)",="(0.06)"

="Andi Adinata【MAHA5】",="0.150",="0.176",="0.175",="-0.0406",="-0.0320"
="",="(0.23)",="(0.24)",="(0.24)",="(0.22)",="(0.23)"

="Anya Melfissa Ch. hololive-ID",="-0.600***",="-0.512***",="-0.519***",="-0.586***",="-0.520***"
="",="(0.14)",="(0.15)",="(0.14)",="(0.14)",="(0.14)"

="Ayunda Risu Ch. hololive-ID",="0.564***",="0.644***",="0.699***",="0.567***",="0.626***"
="",="(0.21)",="(0.21)",="(0.20)",="(0.21)",="(0.20)"

="Azura Cecillia Ch.",="-0.604***",="-0.537***",="-0.522***",="-0.741***",="-0.700***"
="",="(0.02)",="(0.02)",="(0.02)",="(0.02)",="(0.02)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】",="0.635***",="0.476***",="0.414***",="0.654***",="0.538***"
="",="(0.09)",="(0.09)",="(0.09)",="(0.10)",="(0.10)"

="Derem Kado 【にじさんじ / NIJISANJI】",="-1.088***",="-0.989***",="-0.932***",="-1.129***",="-1.058***"
="",="(0.32)",="(0.33)",="(0.33)",="(0.33)",="(0.33)"

="Etna Crimson【NIJISANJI / にじさんじ】",="-0.882***",="-0.846***",="-0.842***",="-0.870***",="-0.843***"
="",="(0.04)",="(0.04)",="(0.04)",="(0.04)",="(0.04)"

="Hana Macchia Ch.【NIJISANJI・にじさんじ】",="1.180***",="1.264***",="1.300***",="1.095***",="1.152***"
="",="(0.25)",="(0.25)",="(0.25)",="(0.24)",="(0.24)"

="Hyona Elatiora【NIJISANJI / にじさんじ】",="-1.393***",="-1.288***",="-1.291***",="-1.368***",="-1.289***"
="",="(0.08)",="(0.08)",="(0.09)",="(0.08)",="(0.08)"

="Kaela Kovalskia Ch. hololive-ID",="0.282***",="0.369***",="0.455***",="0.167***",="0.225***"
="",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.06)"

="Kevin Vangardo【MAHA5】",="-1.069***",="-1.052***",="-1.060***",="-1.201***",="-1.197***"
="",="(0.23)",="(0.24)",="(0.24)",="(0.22)",="(0.23)"

