author,female
Siska Leontyne 【NIJISANJI / にじさんじ】,1
Reza Avanluna 【NIJISANJI / にじさんじ】,0
Anya Melfissa Ch. hololive-ID,1
Rai Galilei【NIJISANJI / にじさんじ】,0
Andi Adinata【MAHA5】,0
ZEA Cornelia【NIJISANJI】,1
Kevin Vangardo【MAHA5】,0
Airani Iofifteen Channel hololive-ID,1
Nia Redalion【MAHA5】,1
Bonnivier Pranaja 【NIJISANJI /  にじさんじ】,0
Hyona Elatiora【NIJISANJI / にじさんじ】,1
Alia Adelia【MAHA5】,1
Derem Kado 【にじさんじ / NIJISANJI】,1
Miyu Ottavia 【NIJISANJI / にじさんじ】,1
Ayunda Risu Ch. hololive-ID,1
Moona Hoshinova hololive-ID,1
Vestia Zeta Ch. hololive-ID,1
Zen Gunawan【MAHA5】,0
Kureiji Ollie Ch. hololive-ID,1
Taka Radjiman【NIJISANJI / にじさんじ】,0
Kaela Kovalskia Ch. hololive-ID,1
Mika Melatika【NIJISANJI・にじさんじ】,1
Lumi Celestia【MAHA5】,1
Pavolia Reine Ch. hololive-ID,1
Nagisa Arcinia【NIJISANJI・にじさんじ】,1
Etna Crimson【NIJISANJI / にじさんじ】,1
Kobo Kanaeru Ch. hololive-ID,1
Rena Anggraeni【MAHA5】,1
Azura Cecillia Ch.,1
Riksa Dhirendra【NIJISANJI】,0
Xia Ekavira【NIJISANJI / にじさんじ】,1
Nara Haramaung【 NIJISANJI / にじさんじ 】,1
Hana Macchia Ch.【NIJISANJI・にじさんじ】,1
Amicia Michella【NIJISANJI / にじさんじ】,1
NANARIKA Channel,1
Layla Alstroemeria【NIJISANJI / にじさんじ】,1
