author,agency,female
Aura Lily Ch. 「4 REALITY」,4 REALITY,1
CYANPILE Ch. シアンパイル「4 REALITY」,4 REALITY,0
Itsuki Ch. イツキ「4 REALITY」,4 REALITY,1
Yua Ch. ユア 「4 REALITY」,4 REALITY,1
Zuya Ch. ズヤ「4 REALITY」,4 REALITY,0
Kichi ch. AKA Virtual,AKA Virtual,1
Mai Ch.「AKA Virtual」,AKA Virtual,1
Miya AKA Virtual,AKA Virtual,1
Nasu AKA Virtual,AKA Virtual,1
Quxy AKA Virtual,AKA Virtual,1
Satsu AKA Virtual,AKA Virtual,1
Starr AKA Virtual,AKA Virtual,
Todoroki Reika 轟れいか  ch. AKA Virtual,AKA Virtual,
Leifa Nerine 【ALTERLY】,ALTERLY,
Milly Cotone【ALTERLY】,ALTERLY,
Rhea Ageha 【ALTERLY】,ALTERLY,
Rora Meeza【ALTERLY】,ALTERLY,
Rumi Naita 【ALTERLY】,ALTERLY,
Gita Melodia Ch.【AOI ID】,AOI ID,
Haruta Danantya Ch.【AOI ID】,AOI ID,
Mayu Kirana Ch.【AOI ID】,AOI ID,
Millie Adelaide Ch.【AOI ID】,AOI ID,
Ravi Narendra Ch.【AOI ID】,AOI ID,
Starla Adiratna Ch.【AOI ID】,AOI ID,
Enji NC【ArkNET】,ArkNET,
Rania Chiwawa【ArkNET】,ArkNET,
Raska Malendra 【ArkNET】,ArkNET,
Katya Felicia Ch. [ASPIRA Project],ASPIRA Project,
Kyura Veronica Ch. [ASPIRA Project],ASPIRA Project,
Yuga Altair Ch. [ASPIRA Project],ASPIRA Project,
Argo Hastanta Ch. [DIMENSTAR],DIMENSTAR,
Eirene Mireilla Ch. [DIMENSTAR],DIMENSTAR,
Kai Superbia Ch. [DIMENSTAR],DIMENSTAR,
Meridia Elinor Ch. [DIMENSTAR],DIMENSTAR,
Nola Aimé [DIMENSTAR],DIMENSTAR,
RADNA AVARITIA Ch. [DIMENSTAR],DIMENSTAR,
Soo Suyu [DIMENSTAR],DIMENSTAR,
Elula Fengari【VTuber】,Fengari Lab,
Yuniko Alea【VTuber】,Fengari Lab,
Zizana Laskaris【VTuber】,Fengari Lab,
Jaret Fajrianto 【GHOSTY's COMIC】,GHOSTY's COMIC,1
Miu Schofield Ch. Harmonia-ID,Harmonia ID,
